scientificname (RAM),commonname1 (RAM),FisheryType,taxgroup,ISSCAAP name
Isurus oxyrinchus,Shortfin mako,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Jasus edwardsii,Red rock lobster,Invertebrate,crabs-lobsters,"Lobsters, spiny-rock lobsters"
Jasus lalandii,South African west coast rock lobster,Invertebrate,crabs-lobsters,"Lobsters, spiny-rock lobsters"
Kajikia audax,Striped marlin,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Kathetostoma giganteum,Giant stargazer,Other Marine,other marine fish,Miscellaneous demersal fishes
Katsuwonus pelamis,Skipjack tuna,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Lachnolaimus maximus,Hogfish,Other Marine,other marine fish,Miscellaneous coastal fishes
Laemonema longipes,Longfin codling,Gadids,gadids,"Cods, hakes, haddocks"
Lamna nasus,Porbeagle shark,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Lepidopsetta bilineata,Rock sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Lepidopsetta polyxystra,Northern rock sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Lepidorhombus boscii,Fourspotted megrim,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Lepidorhombus spp.,Megrim spp.,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Lepidorhombus whiffiagonis,Megrim,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Leucoraja erinacea,Little skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Leucoraja garmani,Rosette skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Leucoraja ocellata,Winter skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Limanda aspera,Yellowfin sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Limanda ferruginea,Yellowtail flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Limanda limanda,Dab,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Lithodes aequispinus,Golden king crab,Invertebrate,crabs-lobsters,"King crabs, squat-lobsters"
