Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
41,38,"38-Sharks, rays, chimaeras",,,,,,,,,,,
41,39,,,,,,,,,,,,
41,39,39-Marine fishes not identified,Osteichthyes,,,,,,,,,,
41,42,,,,,,,,,,,,
41,42,"42-Crabs, sea-spiders",,,,,,,,,,,
41,43,,,,,,,,,,,,
41,43,"43-Lobsters, spinyrock lobsters",,,,,,,,,,,
41,45,,,,,,,,,,,,
41,45,Argentine red shrimp,Pleoticus muelleri,F,F,F,F,F,L,M,,M,
41,45,"Other Shrimps, prawns",,F-O,F-O,,,,M,M,,,
41,45,"45-Shrimps, prawns, etc.",,,,,,,,,,,
41,57,,,,,,,,,,,,
41,57,Argentine shortfin squid,Illex argentinus,F-O,F-O,F-O,F-O,F,M,M,,M,M
41,57,Patagonian squid,Loligo gahi,F,F,F,F,F,M,M,,L,L
41,57,Various squids nei,"Loliginidae, Ommastrephidae",F, ,,,,M,,,,
41,57,"Other squid, cuttlefish, octopuses",,,,,,,,,,,
41,57,"57-Squid, cuttlefish, octopuses",,,,,,,,,,,
47,32,Cape hakes,"Merluccius capensis, M.paradoxus","F,O","F,O","F,F","F,F","F,F",M,M,L,L,L
47,32,"Other Cods, hakes, haddocks",,,,F,F,F,,,H,H,H
47,32,"32-Cods, hakes, haddocks, etc.",,,,,,,,,,,
47,33,Geelbek croaker,Atractoscion aequidens,O,O,O,O,O,L,L,L,L,L
47,33,Panga seabream,Pterogymnus laniarius,,,,,F,,,,,H
47,33,Red steenbras,Petrus rupestris,O,O,O,O,O,L,L,L,L,L
47,33,Other Miscellaneous coastal fishes,,"O,O,F","O,O,F","O,O,F","O,O,F","O,O,F",,M,H,H,H
47,33,33-Miscellaneous costal fishes,,,,,,,,,,,
47,34,Devil anglerfish,Lophius vomerinus,O,O,O,F,F,H,H,L,L,L
47,34,Kingklip,Genypterus capensis,O,O,F,F,F,,M,M,M,M
47,34,Snoek,Thyrsites atun,F,F,F,F,F,M,M,L,L,L
47,34,Other Miscellaneous demersal fishes,,,,"O,O,F","O,O,F","O,O,F",,,M,M,M
47,34,34-Misccelleneous demersal fishes,,,,,,,,,,,
47,35,Sardinellas nei,Sardinella spp,U/F,N/F,"U,F","U,F","U,F",L,L,L,L,L
47,35,Southern African anchovy,Engraulis capensis,F,F,U,U,F,L,L,L,L,L
47,35,Southern African pilchard,Sardinops ocellatus,F/O,F/O,F,O,O,M,M,L,L,L
47,35,Whitehead's round herring,Etrumeus whiteheadi,U,N,U,U,F,L,L,L,L,L
47,35,"Other Herrings, sardines, anchovies",,,, ,F,F,,, ,H,H
47,35,"35-Herrings, sardines, anchovies",,,,,,,,,,,
47,36,Albacore,Thunnus alalunga,,,,F,F,,,,L,L
47,36,Bigeye tuna,Thunnus obesus,,,,F,O,,,,L,L
47,36,Southern bluefin tuna,Thunnus maccoyii,,,,O,O,,,,L,L
47,36,"Other Tunas, bonitos, billfishes",,,,,F,F,,,,H,H
47,36,"36-Tunas, bonitos, billfishes, etc.",,,,,,,,,,,
47,37,Cape horse mackerel,Trachurus capensis,F,F,F,F,F,M,L,L,L,L
47,37,Cunene horse mackerel,Trachurus trecae,O,O,O,O,O,L,L,M,M,M
47,37,Other Miscellaneous pelagic fishes,,,, ,F,F,,, ,H,H
47,37,37-Miscelleneous pelagic fishes,,,,,,,,,,,
47,42,,,,,,,,,,,,
47,42,West African geryon,Chaceon maritae,O,O,O,F,F,M,M,M,M,M
47,42,"Other sea-spiders, crabs, etc. ",,,,,,,,,,,
47,42,"42-Sea-spiders, crabs, et.",,,,,,,,,,,
47,43,Cape rock lobster,Jasus lalandii,O,O,O,F/O,F,L,L,L,L,L
47,43,Southern spiny lobster,Palinurus gilchristi,F,F,F,F,F,L,L,L,L,L
47,43,"Other Lobsters, spiny-rock lobsters",,,,,,,,,,,
47,43,"43-Lobsters, spinyrock lobsters",,,,,,,,,,,
47,45,"45-Shrimps, prawns",,F/O,F/O,F-O,,,M,M,M,,
47,53,Perlemoen abalone,Haliotis midae,O,O,O,O,O,L,L,L,L,L
47,53,53-Oysters,,,,,,,,,,,
47,57,Cape Hope squid,Loligo reynaudi,F,F,F,F,F,L,L,L,L,L
47,57,"Other Squids, cuttlefishes, octopuses",,F,F,F,F,F,M,M,M,M,M
47,57,"57-Squid, cuttlefish,octopuses",,,,,,,,,,,
48,33,"Antarctic rockcods, noties nei",Nototheniidae,,,,,,,,,,
48,33,Humped rockcod,Notothenia gibberifrons,,,,O,O,,,,H,H
48,33,Marbled rockcod,Notothenia rossii,,O,,O,O,,,,H,H
48,33,Other Miscellaneous coastal fishes,,,,,,,,,,,
48,33,33-Miscellaneous coastal fishes,,,,,,,,,,,
48,34,Blackfin icefish,Chaenocephalus aceratus,,,,?,,,,,,
48,34,Lanternfishes nei,Myctophidae,U,N/F,,,,M,M,,,
48,34,Mackerel icefish,Champsocephalus gunnari,O,O,,F,F,M,M,,H,H
48,34,Patagonian toothfish,Dissostichus eleginoides,F,F,F,F,F,M,M,H,H,H
48,34,South Georgia icefish,Pseudochaenichthys georgianus,,,,,,,,,,
